Date,Symbol,Close,High,Low,Open,Volume
2008-01-01,GOOGL,346.075,351.5853,345.6246,349.6234,0
2008-01-02,GOOGL,342.927,349.0229,339.1934,346.7707,8605357
2008-01-03,GOOGL,342.997,343.7578,338.5878,342.962,6498595
2008-01-04,GOOGL,328.8183,340.8099,327.8173,340.1743,10709081
2008-01-07,GOOGL,324.9395,331.4609,318.9838,327.2868,12794546
2008-01-08,GOOGL,316.146,330.2997,315.8057,326.8164,10668145
2008-01-09,GOOGL,326.9165,326.9865,311.5566,315.3252,13468206
2008-01-10,GOOGL,323.6783,328.9184,320.3651,322.8175,12656372
2008-01-11,GOOGL,319.4342,325.0496,315.3603,321.6614,9944558
2008-01-14,GOOGL,327.2268,329.0185,322.9376,325.8855,8886575
2008-01-15,GOOGL,319.1339,324.8394,317.9978,323.2629,11155736
2008-01-16,GOOGL,308.2734,320.3051,301.2566,314.7897,21100417
2008-01-17,GOOGL,300.6861,313.1732,299.2947,310.6807,16417838
2008-01-18,GOOGL,300.4158,305.2905,299.5149,304.4747,17062731
2008-01-21,GOOGL,300.4158,305.2905,299.5149,304.4747,0
2008-01-22,GOOGL,292.4581,299.0395,280.8719,281.2873,18978866
2008-01-23,GOOGL,274.5758,284.2752,259.7514,280.6266,33903647
2008-01-24,GOOGL,287.5233,290.1258,277.3385,279.6707,18797120
2008-01-25,GOOGL,283.4744,297.7883,283.3643,296.1917,13915746
2008-01-28,GOOGL,278.2594,286.3972,274.5658,285.7616,11576880
2008-01-29,GOOGL,275.5267,280.9369,270.5969,280.5065,12232465
2008-01-30,GOOGL,274.4006,280.4865,272.0183,274.8611,15762812
2008-01-31,GOOGL,282.4234,286.7776,267.4038,269.7661,25272316
2008-02-01,GOOGL,258.1999,268.595,255.2471,264.5911,35089358
2008-02-04,GOOGL,247.955,256.6384,246.5136,254.7816,26226931
2008-02-05,GOOGL,253.6455,254.7466,244.4967,244.9521,22330435
2008-02-06,GOOGL,251.0981,255.8326,249.2062,255.8176,14975633
2008-02-07,GOOGL,252.7196,257.3441,247.6197,248.6707,15819657
2008-02-08,GOOGL,258.5953,259.1158,254.5964,254.9518,13594817
2008-02-11,GOOGL,260.8325,262.1087,256.9487,260.5122,11616188
2008-02-12,GOOGL,259.296,265.5571,256.7635,261.9486,13248033
2008-02-13,GOOGL,267.569,267.7542,259.5963,261.5031,12669194
2008-02-14,GOOGL,266.3829,270.7821,265.7573,269.4358,12906156
2008-02-15,GOOGL,265.0766,266.5881,262.419,264.4109,10343234
2008-02-18,GOOGL,265.0766,266.5881,262.419,264.4109,0
2008-02-19,GOOGL,254.7216,267.7892,253.4954,267.7292,12623290
2008-02-20,GOOGL,254.7466,255.7526,249.6517,251.9989,13217788
2008-02-21,GOOGL,251.6736,256.8536,249.992,256.6735,11178454
2008-02-22,GOOGL,254.146,254.7466,249.016,251.2732,10967553
2008-02-25,GOOGL,243.4557,253.4954,243.1053,253.2201,16636582
2008-02-26,GOOGL,232.3199,233.461,223.6415,230.8234,46356705
2008-02-27,GOOGL,236.6591,237.9754,230.0427,230.2879,20207899
2008-02-28,GOOGL,237.9253,239.7771,233.9064,235.4779,12953323
2008-02-29,GOOGL,235.8183,240.1024,232.5501,236.1636,18630745
2008-03-03,GOOGL,228.7314,236.589,225.2731,235.9834,15050065
2008-03-04,GOOGL,222.5154,226.8996,218.1011,225.6935,27128298
2008-03-05,GOOGL,224.0669,227.305,222.2151,222.8407,14764296
2008-03-06,GOOGL,216.5596,226.8696,215.7989,224.0619,14745692
2008-03-07,GOOGL,216.8849,220.2132,213.3265,214.6478,16127972
2008-03-10,GOOGL,207.0104,215.7088,206.7201,214.6228,15959736
2008-03-11,GOOGL,220.1331,220.2882,212.5307,212.836,17636711
2008-03-12,GOOGL,220.3033,224.157,219.2472,220.2182,13291789
2008-03-13,GOOGL,221.7196,223.7065,214.5977,216.5446,15440191
2008-03-14,GOOGL,219.1722,224.8877,215.5186,221.7046,13136375
2008-03-17,GOOGL,210.1384,217.0651,206.2547,214.2023,15765022
2008-03-18,GOOGL,219.7928,220.6336,212.9712,214.6978,14467014
2008-03-19,GOOGL,216.2093,223.9668,216.0441,220.7687,12346421
2008-03-20,GOOGL,216.985,218.0611,208.9523,213.867,19807246
2008-03-21,GOOGL,216.985,218.0611,208.9523,213.867,0
2008-03-24,GOOGL,230.5031,233.1157,219.0721,219.4274,13515891
2008-03-25,GOOGL,225.6084,228.9566,223.2161,228.9516,11651910
2008-03-26,GOOGL,229.317,231.6592,224.8627,226.5143,10418305
2008-03-27,GOOGL,222.2551,224.5223,220.4584,223.2161,11654689
2008-03-28,GOOGL,219.2522,227.0047,217.3654,223.9468,8743927
2008-03-31,GOOGL,220.4484,221.5595,216.2143,218.0311,8884191
2008-04-01,GOOGL,233.0806,233.476,223.6515,224.0869,12175300
2008-04-02,GOOGL,233.0756,238.1005,230.418,235.1777,11987980
2008-04-03,GOOGL,227.7805,231.8694,224.2821,231.0887,13543778
2008-04-04,GOOGL,235.7732,239.1465,228.321,228.7264,11785814
2008-04-07,GOOGL,238.641,242.9552,236.9944,238.7461,11879335
2008-04-08,GOOGL,234.1316,237.2997,231.2288,236.7492,9091604
2008-04-09,GOOGL,232.3199,236.2287,228.9917,234.7923,12084361
2008-04-10,GOOGL,234.7673,237.1616,231.1488,232.7053,10137565
2008-04-11,GOOGL,228.9466,233.8564,227.7254,232.2598,8331251
2008-04-14,GOOGL,226.0488,228.9466,225.2931,228.8015,7677566
2008-04-15,GOOGL,223.6365,230.0827,222.075,229.2869,9164122
2008-04-16,GOOGL,227.7354,229.362,220.7137,222.4153,15246537
2008-04-17,GOOGL,224.9878,229.9076,223.4763,228.0357,26792313
2008-04-18,GOOGL,269.9663,274.1153,262.6392,267.8643,36444139
2008-04-21,GOOGL,269.1555,271.5579,265.4019,269.9563,14815416
2008-04-22,GOOGL,277.7689,280.6867,269.0404,269.0454,15857734
2008-04-23,GOOGL,273.5098,279.926,270.7371,279.2403,9731518
2008-04-24,GOOGL,271.7831,277.5136,270.2716,275.9121,8269393
2008-04-25,GOOGL,272.2936,276.7679,271.6279,274.776,8324082
2008-04-28,GOOGL,276.3275,278.6748,269.7611,273.2045,8012366
2008-04-29,GOOGL,279.5056,281.9729,275.2715,275.6819,8684457
2008-04-30,GOOGL,287.4232,292.7133,279.5056,281.3774,15793766
2008-05-01,GOOGL,296.8273,297.7532,288.7655,289.4352,13198905
2008-05-02,GOOGL,290.9266,301.5169,289.9307,299.5349,13986963
2008-05-05,GOOGL,297.7382,299.7902,293.8494,299.7201,12564417
2008-05-06,GOOGL,293.4641,296.2868,291.7824,295.7863,9255464
2008-05-07,GOOGL,289.7805,300.0354,288.4943,295.421,13214995
2008-05-08,GOOGL,291.7875,294.9355,289.7355,293.384,10236903
2008-05-09,GOOGL,286.8777,292.7834,285.9268,289.7805,8961772
2008-05-12,GOOGL,292.7534,293.6593,284.7306,287.6534,9721380
2008-05-13,GOOGL,291.7824,294.2598,289.5553,293.399,10320322
2008-05-14,GOOGL,288.4292,295.8814,287.9037,293.5291,8749666
2008-05-15,GOOGL,290.7815,291.7574,288.0839,289.7805,8679426
2008-05-16,GOOGL,290.3161,292.6233,289.4402,290.9967,8542269
2008-05-19,GOOGL,289.0398,294.7253,287.0379,289.5553,11198765
2008-05-20,GOOGL,289.5803,291.5222,286.7326,287.5934,6621492
2008-05-21,GOOGL,275.2615,290.9867,274.2104,289.5403,12927861
2008-05-22,GOOGL,274.9962,277.3735,270.3867,276.2424,10144672
2008-05-23,GOOGL,272.5739,276.7679,269.1656,273.745,8862059
2008-05-26,GOOGL,272.5739,276.7679,269.1656,273.745,0
2008-05-27,GOOGL,280.7217,281.5726,272.1885,272.744,7728679
2008-05-28,GOOGL,284.3953,286.0219,280.8218,284.2451,8098445
2008-05-29,GOOGL,291.7824,293.2238,286.8777,287.6735,9684452
2008-05-30,GOOGL,293.1838,295.2458,290.9316,292.0177,6448529
2008-06-02,GOOGL,287.7786,292.2279,285.9118,291.5322,7342231
2008-06-03,GOOGL,283.9248,290.5312,280.5766,288.5293,8663345
2008-06-04,GOOGL,286.3872,289.28,282.5485,282.9389,6721375
2008-06-05,GOOGL,293.434,294.3049,288.3842,288.8196,7835445
2008-06-06,GOOGL,283.7747,290.6413,283.7747,290.1559,9461110
2008-06-09,GOOGL,279.2053,285.2761,272.9642,284.3052,10566767
2008-06-10,GOOGL,277.3535,279.6807,273.6549,275.0462,7309037
2008-06-11,GOOGL,272.8641,278.94,272.4938,278.3895,7618695
2008-06-12,GOOGL,276.7429,279.2703,273.7049,274.6459,10982512
2008-06-13,GOOGL,286.0319,288.1289,280.9399,281.017,12357472
2008-06-16,GOOGL,286.6825,289.8306,283.5245,283.5245,7081270
2008-06-17,GOOGL,285.0059,289.3151,284.4654,288.4542,6920370
2008-06-18,GOOGL,281.4625,284.7707,279.8509,282.5285,6769662
2008-06-19,GOOGL,280.3714,282.1631,275.6719,277.944,11355607
2008-06-20,GOOGL,273.4797,278.7598,272.5188,278.7598,11957008
2008-06-23,GOOGL,272.8691,276.843,271.2726,272.9442,7266818
2008-06-24,GOOGL,271.4127,275.862,267.8092,272.8341,9336133
2008-06-25,GOOGL,275.7669,279.1702,272.0984,272.749,8197401
2008-06-26,GOOGL,264.6662,272.729,264.3859,272.3136,11212901
2008-06-27,GOOGL,264.2908,265.2568,257.7945,264.0956,10091110
2008-06-30,GOOGL,263.465,269.2606,261.7834,266.493,7428979
2008-07-01,GOOGL,267.6241,268.62,258.7505,260.0417,9834271
2008-07-02,GOOGL,263.7753,270.4518,263.2849,268.5149,8382080
2008-07-03,GOOGL,268.7602,269.8762,264.0056,265.6972,4796200
2008-07-04,GOOGL,268.7602,269.8762,264.0056,265.6972,0
2008-07-07,GOOGL,272.2185,274.766,268.0595,271.4127,8447257
2008-07-08,GOOGL,277.5337,277.864,270.2616,273.2595,9756904
2008-07-09,GOOGL,271.0374,278.1092,270.627,275.6468,8241192
2008-07-10,GOOGL,270.5469,275.0162,265.6176,272.764,8593627
2008-07-11,GOOGL,267.1586,270.0114,259.9666,268.5099,9712239
2008-07-14,GOOGL,261.0627,270.2937,257.9747,269.7611,8840943
2008-07-15,GOOGL,258.295,264.0056,250.7928,258.3901,12132154
2008-07-16,GOOGL,268.0595,268.5099,255.5474,257.269,9480204
2008-07-17,GOOGL,266.9784,268.7852,262.5041,267.3388,17575902
2008-07-18,GOOGL,240.8932,249.7317,239.3267,249.4164,22572236
2008-07-21,GOOGL,234.6271,242.2795,233.0756,240.673,11809361
2008-07-22,GOOGL,238.7861,240.3577,233.0258,233.5861,9379373
2008-07-23,GOOGL,244.847,248.8559,239.2816,241.0383,9787454
2008-07-24,GOOGL,238.0404,248.6757,238.0404,248.5906,7081396
2008-07-25,GOOGL,246.2283,246.8049,240.9833,243.4807,6363068
2008-07-28,GOOGL,238.7911,246.2834,237.7952,246.2834,6322300
2008-07-29,GOOGL,241.7891,243.8661,239.2316,239.8822,5601284
2008-07-30,GOOGL,241.5839,243.2455,236.6341,242.9852,6977191
2008-07-31,GOOGL,237.1045,240.678,235.9484,237.5099,5724525
2008-08-01,GOOGL,234.1567,236.8393,231.4741,236.4839,6011139
2008-08-04,GOOGL,231.7243,236.7342,231.1738,234.286,4969097
2008-08-05,GOOGL,240.1575,240.2726,233.3909,234.0215,7162102
2008-08-06,GOOGL,243.4056,245.1223,236.4839,239.4168,6743136
2008-08-07,GOOGL,239.7921,242.2345,238.4358,241.2335,5542082
2008-08-08,GOOGL,247.7448,248.1152,238.0755,240.3076,7471684
2008-08-11,GOOGL,250.6626,254.6865,246.1283,246.4736,8465901
2008-08-12,GOOGL,251.5485,253.3102,249.2413,251.2432,5506200
2008-08-13,GOOGL,250.2572,252.0139,247.1793,251.043,7245077
2008-08-14,GOOGL,252.9899,254.0509,248.3854,249.0911,5832228
2008-08-15,GOOGL,255.3222,255.5774,252.9949,253.7406,7084363
2008-08-18,GOOGL,249.3914,255.2471,247.9951,255.167,6608027
2008-08-19,GOOGL,245.4876,249.3814,243.5508,245.4526,6087439
2008-08-20,GOOGL,242.735,248.5856,241.5188,247.5997,7961333
2008-08-21,GOOGL,243.5007,245.1873,239.8672,241.694,7021380
2008-08-22,GOOGL,245.5327,247.6778,244.9771,245.9881,4589858
2008-08-25,GOOGL,241.739,248.7408,240.9833,243.2905,3964700
2008-08-26,GOOGL,237.3097,241.9642,235.523,241.9642,6610662
2008-08-27,GOOGL,234.517,237.645,232.6452,237.0945,8768795
2008-08-28,GOOGL,237.1195,238.4558,235.3929,236.4739,6053644
2008-08-29,GOOGL,231.8694,235.7332,231.389,235.1026,7689145
2008-09-01,GOOGL,231.8694,235.7332,231.389,235.1026,0
2008-09-02,GOOGL,232.8504,241.3236,230.9335,238.616,12229542
2008-09-03,GOOGL,232.43,237.3747,230.0127,234.5921,8622559
2008-09-04,GOOGL,225.3481,231.8444,224.9177,230.2229,9763851
2008-09-05,GOOGL,222.3402,226.4472,220.2532,222.9608,9067963
2008-09-08,GOOGL,210.1785,226.6894,208.9773,226.229,18025530
2008-09-09,GOOGL,209.5328,216.3995,207.7011,211.79,14448889
2008-09-10,GOOGL,207.2806,212.4456,205.0385,212.4406,12443526
2008-09-11,GOOGL,217.0851,217.7558,203.3869,204.3728,12932764
2008-09-12,GOOGL,219.042,221.2091,214.7078,215.3134,12045244
2008-09-15,GOOGL,217.1402,221.1991,212.0603,212.2054,13124525
2008-09-16,GOOGL,221.6796,224.8577,212.9511,213.1864,13969997
2008-09-17,GOOGL,207.4458,219.7827,206.9203,219.4524,18240633
2008-09-18,GOOGL,219.7527,219.8028,205.4489,211.5248,17167559
2008-09-19,GOOGL,224.7926,231.2589,221.8548,230.7233,19998113
2008-09-22,GOOGL,215.2784,227.285,214.7078,227.285,8809701
2008-09-23,GOOGL,214.843,220.6085,213.0663,216.8349,10403207
2008-09-24,GOOGL,217.7658,222.7156,215.2634,215.3785,8477375
2008-09-25,GOOGL,220.013,225.218,218.2012,219.6326,10044101
2008-09-26,GOOGL,215.7288,218.7918,210.719,214.2074,10575255
2008-09-29,GOOGL,190.6846,211.9602,190.5394,209.9582,21509097
2008-09-30,GOOGL,200.454,202.0105,196.5052,198.1818,17632089
2008-10-01,GOOGL,206.0595,208.692,201.7453,205.7742,12462071
2008-10-02,GOOGL,195.4342,205.1886,193.187,205.0935,11964708
2008-10-03,GOOGL,193.6424,206.4498,191.7206,198.8675,16056256
2008-10-06,GOOGL,185.7848,188.1772,178.753,187.1712,22423243
2008-10-07,GOOGL,173.1726,187.6717,172.8523,186.8459,22096254
2008-10-08,GOOGL,169.2188,179.6689,163.213,165.24,23634026
2008-10-09,GOOGL,164.6494,174.4519,160.9908,172.4269,16161182
2008-10-10,GOOGL,166.1608,171.1106,155.3003,156.7317,21180691
2008-10-13,GOOGL,190.6946,191.16,173.0425,178.0674,17797956
2008-10-14,GOOGL,181.5307,197.4411,178.673,196.9557,15734068
2008-10-15,GOOGL,169.7493,179.6739,169.5792,177.4968,13386159
2008-10-16,GOOGL,176.6811,178.4227,154.8699,166.5412,32546997
2008-10-17,GOOGL,186.4505,193.187,181.9511,189.6636,28485972
2008-10-20,GOOGL,189.8438,190.6746,179.9692,190.059,13500922
2008-10-21,GOOGL,181.5507,192.0759,181.1754,186.3754,11570011
2008-10-22,GOOGL,178.0073,185.0241,172.1667,178.668,13115533
2008-10-23,GOOGL,176.3307,179.1734,169.1587,176.9963,12948343
2008-10-24,GOOGL,169.8094,175.4048,162.5273,163.3932,14703920
2008-10-27,GOOGL,164.9046,171.6662,162.9577,167.5672,12406325
2008-10-28,GOOGL,184.5536,184.8339,164.4142,169.6893,16198280
2008-10-29,GOOGL,179.1734,185.6797,176.3557,183.0722,19508471
2008-10-30,GOOGL,180.0193,186.1802,179.3586,184.4085,15971338
2008-10-31,GOOGL,179.8541,186.1602,177.3066,178.2525,14839373
2008-11-03,GOOGL,173.4129,181.6709,170.8804,178.9632,11899364
2008-11-04,GOOGL,183.6478,186.3604,172.9174,176.8912,14690663
2008-11-05,GOOGL,171.2858,184.6187,170.8204,181.2505,13886085
2008-11-06,GOOGL,165.7705,172.3769,163.0628,170.1497,17142374
2008-11-07,GOOGL,165.7304,170.7403,162.8231,166.7214,9371085
2008-11-10,GOOGL,159.5444,164.8816,154.8849,164.1589,16179513
2008-11-11,GOOGL,155.8809,158.3032,150.4061,154.4946,20277921
2008-11-12,GOOGL,145.641,156.3963,144.0194,151.1713,20089440
2008-11-13,GOOGL,156.1912,156.6516,140.1357,146.0264,26452505
2008-11-14,GOOGL,155.1602,162.6524,151.4266,151.7719,19018504
2008-11-17,GOOGL,150.2054,155.2303,149.1193,151.6468,15074295
2008-11-18,GOOGL,148.8541,152.0121,142.8132,150.9311,16681418
2008-11-19,GOOGL,140.2257,150.2404,139.425,147.8381,15668028
2008-11-20,GOOGL,129.9057,141.6071,129.6455,137.5782,19481411
2008-11-21,GOOGL,131.3421,134.8155,123.7698,131.3822,20344381
2008-11-24,GOOGL,128.8447,135.1058,124.6256,134.7604,19929897
2008-11-25,GOOGL,141.1616,143.4689,133.7895,134.4702,21303953
2008-11-26,GOOGL,146.1865,147.8731,138.2338,140.2758,12670465
2008-11-27,GOOGL,146.1865,147.8731,138.2338,140.2758,0
2008-11-28,GOOGL,146.6219,148.3686,144.2797,145.4308,5127767
2008-12-01,GOOGL,133.1239,143.8292,133.1204,143.4789,11248456
2008-12-02,GOOGL,137.6883,139.0246,131.4173,134.9957,11560067
2008-12-03,GOOGL,139.8504,140.8163,132.7985,135.0557,11772637
2008-12-04,GOOGL,137.3029,141.8823,134.5152,138.399,9674356
2008-12-05,GOOGL,142.1326,142.2577,132.1379,135.6413,12888154
2008-12-08,GOOGL,151.2014,154.8699,141.1366,145.1355,16200962
2008-12-09,GOOGL,153.1332,159.1541,148.6489,148.9892,13655756
2008-12-10,GOOGL,154.5596,157.6026,152.4025,154.7698,10408149
2008-12-11,GOOGL,150.2554,156.5916,149.0443,152.2324,11066772
